Year,SMW,Temp,RH,RF,BPH
20-08-2012,34,27.04,86.29,71.4,0.03
27-08-2012,35,28.16,78.86,144.4,0.1
03-09-2012,36,27.73,85,74.2,0.22
10-09-2012,37,27.8,83,26.6,0.08
17-09-2012,38,28.02,85,35.2,0.11
24-09-2012,39,28.06,72.07,65.4,0.27
01-10-2012,40,28.11,75.5,12,0.21
08-10-2012,41,25.9,65.86,0,0.17
15-10-2012,42,25.7,62.86,0,0.25
22-10-2012,43,24.99,59.79,0,0.95
29-10-2012,44,23.77,71.43,10.3,0.57
03-09-2013,36,27.96,84.14,54.8,0
10-09-2013,37,28.56,82.5,11.6,0
17-09-2013,38,27.02,85.14,92.6,0.13
24-09-2013,39,28.46,80.5,28.6,0.14
01-10-2013,40,27.1,85.14,45.2,0.25
08-10-2013,41,26.78,80.29,8.6,2.35
15-10-2013,42,26.01,73.86,0,4.72
22-10-2013,43,25.68,84.5,32.4,2.13
29-10-2013,44,23.91,65.36,0,4.48
05-11-2013,45,23.31,64.07,0,2.75
12-11-2013,46,20.36,63.29,0,2.48
03-09-2014,36,26.21,88.29,79.5,0
10-09-2014,37,27.4,87.07,41,0
17-09-2014,38,28.39,81.14,57.6,0.21
24-09-2014,39,27.24,75.07,0,0.25
01-10-2014,40,28.6,74.43,0,0.48
08-10-2014,41,27.09,77.5,52.2,2
15-10-2014,42,27.01,73.07,1.2,3.59
22-10-2014,43,24.21,72.29,5.4,2.15
29-10-2014,44,23.49,65.9,0,3.33
05-11-2014,45,24.11,65.57,0,3.8
12-11-2014,46,25.38,59.36,0,2.25
03-09-2015,36,28.96,78.36,10,0
10-09-2015,37,29.42,77.07,68.4,0.18
17-09-2015,38,27.61,87.64,135.4,0.35
24-09-2015,39,28.57,74.43,0,0.47
01-10-2015,40,29.05,71.71,0,0.4
08-10-2015,41,28.08,68,0,1.03
15-10-2015,42,28.11,68.14,0,0.65
22-10-2015,43,27.49,63.57,0,1.35
29-10-2015,44,24.69,72.5,0,2.9
05-11-2015,45,25.24,64.14,0,0.53
12-11-2015,46,23.96,60.86,0,1.08
03-09-2016,36,28.06,76.79,55,0
10-09-2016,37,27.59,87.21,140.6,0.02
17-09-2016,38,28.56,81.36,90.6,0
24-09-2016,39,27.41,90.14,116.2,0.03
01-10-2016,40,27.79,84.21,55.8,0.1
08-10-2016,41,27.31,76.43,15.2,0.12
15-10-2016,42,25.61,60.86,0,0.15
22-10-2016,43,24.84,61.86,0,0.88
29-10-2016,44,25.04,67.07,0,1.3
05-11-2016,45,23.59,59.57,0,2.17
12-11-2016,46,21.84,63.21,0,1.95
19-11-2016,47,20.6,56.79,0,0.8
26-11-2016,48,21.68,56.21,0,0.8
24-09-2017,39,29.01,75,22,0.28
01-10-2017,42,28.27,67,6.6,1.2
08-10-2017,43,27.96,65.43,0,5.33
15-10-2017,44,24.82,62.93,0,4.78
22-10-2017,45,23.31,61.86,0,4.66
29-10-2017,46,23.4,71.93,1,3.84
05-11-2017,47,23.87,60.21,0,2.31
12-11-2017,48,20.84,55,0,3.65
03-09-2018,36,26.54,82.14,30.2,0
10-09-2018,37,28.84,72.36,0,0
17-09-2018,38,27.57,79.71,33.4,0.04
24-09-2018,39,28.97,75.93,11,0.16
01-10-2018,40,28.94,67.64,0,1.04
08-10-2018,41,27.6,69.14,0,0.75
15-10-2018,42,27.34,64.36,0,2.99
22-10-2018,43,25.9,67.21,0,3.81
29-10-2018,44,25.36,65.07,0,4.96
05-11-2018,45,24.79,59.29,0,6.02
12-11-2018,46,22.99,57.14,0,4.14
19-11-2018,47,23.31,58.43,0,2.97
26-11-2018,48,21.44,62.29,0,4.11
03-09-2019,36,27.21,90.29,239,0
10-09-2019,37,27.84,82.71,9.2,0
17-09-2019,38,29.27,75.57,2.4,0.37
24-09-2019,39,27.2,82.43,178.1,0.31
01-10-2019,40,28.14,77.29,1.8,1.65
08-10-2019,41,27.46,77.57,1.2,1.99
15-10-2019,42,26.32,78.29,51,0.71
22-10-2019,43,25.16,81.79,27.6,2.8
29-10-2019,44,26.81,71.79,0,5.71
05-11-2019,45,22.58,64.43,0,3.06
12-11-2019,46,22.71,63.71,0,2.06
19-11-2019,47,23.01,66.21,0,2.88
03-09-2020,36,29.26,81.64,9,0
10-09-2020,37,29.59,79.5,64,0.12
17-09-2020,38,29.54,78.79,16.4,0.18
24-09-2020,39,28.84,77.07,0,0.23
01-10-2020,40,28.55,74.93,1.4,0.17
08-10-2020,41,28.89,78.36,11.4,1.04
15-10-2020,42,28.2,76.14,7,2.34
22-10-2020,43,26.47,62.29,0,2.73
29-10-2020,44,25.2,57.57,0,2.65
05-11-2020,45,21.59,54.86,0,4.1
12-11-2020,46,25.17,62.5,0,3.35
19-11-2020,47,24.19,61.5,0.4,2.63
